economy_id,country_code,gdp_per_capita,gdp,imports,exports,gdp_growth
153,RO,12280.8,239552,96644,77299,4
154,RU,11394.1,1660514,247161,426720,2.3
155,RW,773,9510,3214,992,8.6
156,KN,19275.4,1011,338,63,2.9
157,LC,10566,1922,598,55,0.9
158,VC,7361.3,811,335,37,2.2
159,WS,4249.6,833,390,32,0.7
160,SM,48472.7,1638,,,1.1
161,ST,1948.1,411,165,14,2.2
162,SA,23217.2,782483,136472,259208,2.2
163,SN,1501.7,23809,8143,4175,6.8
164,RS,7208.8,50597,26730,19630,4.4
165,SC,16377.9,1590,1438,824,7.9
166,SL,536.1,4101,741,44,4.6
167,SG,62720.9,361115,358975,390332,3.2
168,SK,19430.8,105956,90979,90050,4
169,SI,26005.1,54034,38179,37557,4.1
170,SB,1946.9,1271,348,611,3.9
171,SO,99.6,1494,549,1179,3.1
172,ZA,6369.2,368094,88037,89396,0.8
173,SS,747.7,8207,1238,1091,3.4
174,ES,30405.8,1419735,375485,337215,2.4
175,LK,4189.7,88942,17992,12589,3.2
176,SD,1208.4,50515,12286,4127,-2.3
177,SR,6003.7,3458,1711,1461,2.6
178,SE,55766.8,556086,158710,160538,2.2
179,CH,82708.5,705141,276292,313630,2.8
180,SY,981.3,16628,980,534,2.4
181,TJ,826.6,7523,2773,2065,7.1
182,TZ,1044.1,57145,9434,4414,7
183,TH,7273.6,504992,216805,233674,4.1
184,TG,654.8,5165,1844,917,4.9
185,TO,4885.8,504,311,15,-0.4
186,TT,17130.3,23808,1951,12336,-0.2
187,TN,3449.6,39895,22453,15489,2.5
188,TR,9367.9,771355,210343,180839,2.8
189,TM,6964.6,40749,2764,3962,6.2
190,TV,4000.6,46,12,0,7
191,UG,704.4,30098,7686,3597,8.9
192,UA,2956.9,130832,60783,50060,3.3
193,AE,43005,414179,244712,412260,1.7
194,GB,42526.4,2855297,692580,468160,1.4
195,US,62917.9,20580223,2567490,1644280,2.9
196,UY,17278.1,59597,8226,7886,1.6
197,UZ,1555,50500,21867,14930,5.1
198,VU,3037.2,889,289,51,3.2
199,VA,,,,,
200,VE,7212.2,208338,1051,3783,-18
201,VN,2563.2,244901,253442,264610,7.1
202,YE,935.9,26672,4716,24,-1.3
203,ZM,1572.3,27283,7221,7029,4.1
204,ZW,1683.8,24312,4787,4279,4.8
