lifespan_id,country_code,life_expectancy_male,life_expectancy_female,homicide_rate,infant_mortality,fertility
154,RU,66.8,77.5,8.2,5.8,1.8
155,RW,66.3,70.5,2.6,29.2,4.1
156,KN,,,36.1,,
157,LC,74.7,77.4,21.4,12.5,1.4
158,VC,70.1,74.9,36.5,14.6,1.9
159,WS,71.1,75.2,3.1,13.4,3.9
160,SM,81.7,86.4,0,,
161,ST,67.7,72.4,3.3,26.4,4.4
162,SA,73.7,76.5,1.3,6.3,2.3
163,SN,65.3,69.4,0.3,32.7,4.6
164,RS,73.2,78.4,1.2,4.9,1.5
165,SC,69.8,77.3,12.5,10.9,2.5
166,SL,53.2,54.8,1.7,80.8,4.3
167,SG,81.2,85.5,0.2,1.6,1.2
168,SK,73.7,80.8,1.1,4.8,1.5
169,SI,78.2,83.8,0.5,1.9,1.6
170,SB,71.1,74.6,3.8,15.5,4.4
171,SO,55.3,58.7,,69.3,6.1
172,ZA,60.2,67.1,36.4,27.2,2.4
173,SS,56,58.9,14.9,64.4,4.7
174,ES,80.6,86,0.6,2.3,1.3
175,LK,73.3,80,2.4,7.6,2.2
176,SD,63.1,66.8,5.1,42.9,4.4
177,SR,68.3,74.8,5.4,17.5,2.4
178,SE,80.8,84.4,1.1,2,1.8
179,CH,81.6,85.4,0.6,3.4,1.5
180,SY,65.9,77.7,0.9,15.5,2.8
181,TJ,68.6,73,1.6,29.3,3.6
182,TZ,63,66.6,6.5,41.2,4.9
183,TH,73.1,80.6,2.6,7.8,1.5
184,TG,59.7,61.4,,49.7,4.4
185,TO,68.8,72.7,1,12.5,3.6
186,TT,70.7,76,30.6,22,1.7
187,TN,74.4,78.5,3.1,12.7,2.2
188,TR,74.3,80.2,2.6,8.9,2.1
189,TM,64.5,71.5,4.2,43.3,2.8
190,TV,67.4,71.9,18.6,10.3,3.6
191,UG,60.4,65,10.5,46.1,5
192,UA,66.8,76.6,6.2,7.2,1.4
193,AE,77.1,79.1,0.5,5.5,1.4
194,GB,79.4,82.9,1.2,3.8,1.8
195,US,76.3,81.3,5,5.8,1.8
196,UY,73.9,81.3,12.1,8.7,2
197,UZ,69.4,73.6,1.1,20.8,2.4
198,VU,68.8,71.9,,22.4,3.8
199,VA,,,0,,
200,VE,68.4,76.1,36.7,25.7,2.3
201,VN,71.2,79.4,1.5,16.7,2.1
202,YE,64.4,67.7,6.8,43.2,3.8
203,ZM,60.3,66.2,5.4,45.6,4.7
204,ZW,59.2,62.2,7.5,38.7,3.6
