labour_id,country_code,employment_services,employment_industry,employment_agriculture,unemployment
161,ST,62.9,18.4,18.7,13.7
162,SA,72.9,24.8,2.3,5.9
163,SN,56.9,13.6,29.4,6.7
164,RS,57.6,27.4,15.1,12.7
165,SC,78.2,17.9,3.6,4.1
166,SL,39.1,6.5,54.4,4.4
167,SG,84.1,15.2,0.7,4.4
168,SK,61.8,36.1,2.1,5.1
169,SI,61.5,33.5,5.1,3.8
170,SB,53.4,9.6,37.1,0.5
171,SO,13.4,3.5,83,11.4
172,ZA,72.3,22.7,5,28.5
173,SS,29.7,14.1,56.1,12.3
174,ES,75.8,20.2,4,13
175,LK,45.9,30.4,23.7,4.2
176,SD,44.4,15.9,39.7,16.6
177,SR,69.1,23.5,7.4,7.5
178,SE,80.7,17.7,1.6,6.7
179,CH,77.2,20,2.9,4.8
180,SY,63,26.5,10.5,8.4
181,TJ,39.9,16,44.2,11
182,TZ,28.3,6.8,64.9,2
183,TH,46.3,22.5,31.2,0.8
184,TG,49.9,12.9,37.2,2
185,TO,47.1,29.2,23.7,1.2
186,TT,70.5,26.6,2.9,2.8
187,TN,54.8,32.5,12.7,16.2
188,TR,55.9,26.1,18,12.9
189,TM,37.9,42.6,19.5,4.1
190,TV,,,,6.5
191,UG,20.9,6.6,72.4,1.9
192,UA,61.1,24.8,14.1,8.9
193,AE,64.4,34.2,1.4,2.4
194,GB,81.3,17.7,1,4.1
195,US,79,19.7,1.3,3.9
196,UY,73.4,18.7,7.9,8.8
197,UZ,46.8,29.9,23.3,6.1
198,VU,38.4,6.3,55.3,4.4
199,VA,,,,
200,VE,75.5,16.1,8.4,9.4
201,VN,35.4,28.4,36.2,2
202,YE,61.4,10,28.6,12.8
203,ZM,40.7,10.8,48.5,11.4
204,ZW,27.2,6.5,66.3,5
